Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
2017-01-01 14:04:13,2017-01-01 14:24:39,1226,Pine Grove Ave & Waveland Ave,Campbell Ave & Montrose Ave,Subscriber,Female,1984.0
2017-01-01 14:04:17,2017-01-01 14:16:58,761,State St & Van Buren St,Wentworth Ave & Archer Ave,Subscriber,Male,1962.0
2017-01-01 14:04:20,2017-01-01 14:12:06,466,Clarendon Ave & Junior Ter,Sheridan Rd & Lawrence Ave,Subscriber,Female,1985.0
2017-01-01 14:04:23,2017-01-01 14:07:01,158,Ellis Ave & 53rd St,Ellis Ave & 55th St,Subscriber,Male,1996.0
2017-01-01 14:04:23,2017-01-01 14:14:50,627,Indiana Ave & Roosevelt Rd,Clinton St & Roosevelt Rd,Subscriber,Female,1970.0
2017-01-01 14:04:25,2017-01-01 14:24:41,1216,Wilton Ave & Diversey Pkwy,Larrabee St & Division St,Subscriber,Male,1987.0
2017-01-01 14:04:25,2017-01-01 14:13:41,556,Clarendon Ave & Junior Ter,Sheridan Rd & Lawrence Ave,Subscriber,Male,1983.0
2017-01-01 14:05:20,2017-01-01 15:32:21,5221,Central Park Ave & North Ave,California Ave & North Ave,Subscriber,Male,1988.0
2017-01-01 14:05:48,2017-01-01 14:11:40,352,Bissell St & Armitage Ave,Wilton Ave & Diversey Pkwy,Subscriber,Male,1992.0
2017-01-01 14:06:15,2017-01-01 14:20:37,862,Kedzie Ave & Chicago Ave,Damen Ave & Division St,Subscriber,Male,1952.0
2017-01-01 14:06:20,2017-01-01 14:23:48,1048,Broadway & Barry Ave,Clark St & Schiller St,Subscriber,Female,1959.0
2017-01-01 14:07:02,2017-01-01 14:16:57,595,Theater on the Lake,Lake Shore Dr & Wellington Ave,Subscriber,Female,1992.0
2017-01-01 14:07:32,2017-01-01 14:24:17,1005,McClurg Ct & Illinois St,Ogden Ave & Race Ave,Subscriber,Female,1984.0
2017-01-01 14:08:28,2017-01-01 14:23:50,922,Ritchie Ct & Banks St,Lake Shore Dr & North Blvd,Customer,,
2017-01-01 14:08:37,2017-01-01 14:26:44,1087,Theater on the Lake,Clark St & Lincoln Ave,Subscriber,Female,1968.0
2017-01-01 14:08:41,2017-01-01 14:25:01,980,Damen Ave & Cortland St,Larrabee St & Armitage Ave,Customer,,
2017-01-01 14:08:44,2017-01-01 14:26:50,1086,Theater on the Lake,Clark St & Lincoln Ave,Subscriber,Male,1964.0
2017-01-01 14:09:13,2017-01-01 14:23:26,853,May St & Taylor St,Morgan St & Polk St,Subscriber,Male,1992.0
2017-01-01 14:09:13,2017-01-01 14:23:33,860,May St & Taylor St,Morgan St & Polk St,Subscriber,Male,1992.0
2017-01-01 14:09:25,2017-01-01 14:29:12,1187,Damen Ave & Wellington Ave,Clark St & Leland Ave,Subscriber,Female,1966.0
2017-01-01 14:09:26,2017-01-01 14:25:08,942,Damen Ave & Cortland St,Larrabee St & Armitage Ave,Customer,,
2017-01-01 14:10:04,2017-01-01 14:25:24,920,Wells St & Elm St,Streeter Dr & Grand Ave,Customer,,
2017-01-01 14:10:33,2017-01-01 14:14:28,235,Michigan Ave & Pearson St,McClurg Ct & Erie St,Subscriber,Male,1983.0
2017-01-01 14:10:41,2017-01-01 14:23:59,798,Ritchie Ct & Banks St,Lake Shore Dr & North Blvd,Customer,,
2017-01-01 14:10:45,2017-01-01 14:33:33,1368,Wabash Ave & Grand Ave,Damen Ave & Pierce Ave,Subscriber,Male,1978.0
2017-01-01 14:11:01,2017-01-01 14:21:28,627,Canal St & Taylor St,Michigan Ave & 14th St,Subscriber,Female,1972.0
2017-01-01 14:11:11,2017-01-01 14:23:24,733,Broadway & Cornelia Ave,Sheridan Rd & Montrose Ave,Subscriber,Male,1950.0
2017-01-01 14:13:00,2017-01-01 14:41:35,1715,Burnham Harbor,Lake Shore Dr & Monroe St,Subscriber,Male,1994.0
2017-01-01 14:13:07,2017-01-01 14:30:15,1028,Rush St & Cedar St,Federal St & Polk St,Subscriber,Male,1991.0
2017-01-01 14:13:14,2017-01-01 14:23:44,630,Wells St & Polk St,Millennium Park,Subscriber,Female,1979.0
2017-01-01 14:13:37,2017-01-01 14:41:50,1693,Burnham Harbor,Lake Shore Dr & Monroe St,Subscriber,Male,1991.0
2017-01-01 14:13:38,2017-01-01 14:19:25,347,Ritchie Ct & Banks St,Lake Shore Dr & North Blvd,Customer,,
2017-01-01 14:13:47,2017-01-01 14:36:24,1357,Eckhart Park,Carpenter St & Huron St,Subscriber,Male,1981.0
2017-01-01 14:13:48,2017-01-01 14:23:50,602,Ritchie Ct & Banks St,Lake Shore Dr & North Blvd,Customer,,
2017-01-01 14:13:52,2017-01-01 15:21:15,4043,Wabash Ave & Roosevelt Rd,Wabash Ave & Roosevelt Rd,Customer,,
2017-01-01 14:13:54,2017-01-01 14:23:44,590,Ritchie Ct & Banks St,Lake Shore Dr & North Blvd,Customer,,
2017-01-01 14:14:00,2017-01-01 14:17:55,235,Lincoln Ave & Roscoe St,Seeley Ave & Roscoe St,Subscriber,Male,1988.0
2017-01-01 14:14:04,2017-01-01 14:35:32,1288,Damen Ave & Chicago Ave,Wabash Ave & Grand Ave,Subscriber,Male,1982.0
2017-01-01 14:14:06,2017-01-01 14:19:34,328,Adler Planetarium,Shedd Aquarium,Subscriber,Female,1989.0
2017-01-01 14:14:10,2017-01-01 14:31:02,1012,Michigan Ave & Oak St,Clark St & Lincoln Ave,Subscriber,Female,1985.0
2017-01-01 14:14:12,2017-01-01 14:25:30,678,Ravenswood Ave & Balmoral Ave,Ravenswood Ave & Lawrence Ave,Subscriber,Female,1963.0
2017-01-01 14:14:15,2017-01-01 15:21:03,4008,Wabash Ave & Roosevelt Rd,Wabash Ave & Roosevelt Rd,Customer,,
2017-01-01 14:14:16,2017-01-01 14:19:18,302,Wabash Ave & 8th St,Wabash Ave & Roosevelt Rd,Subscriber,Male,1949.0
2017-01-01 14:14:18,2017-01-01 14:27:57,819,Lake Shore Dr & North Blvd,Lake Shore Dr & Ohio St,Customer,,
2017-01-01 14:14:30,2017-01-01 14:30:56,986,Michigan Ave & Oak St,Clark St & Lincoln Ave,Subscriber,Male,1990.0
